user_id,survey_date,breed,confusion_during_onboarding,feature_request,nps_score
USR00001,2024-11-05,Dandie Dinmont Terrier,Needed a 24/7 filter and real reviews,Needed clinic directory and SOS,10
USR00002,2024-11-16,Manchester Terrier (Standard),Wanted a safe community to share pet moments,Needed community and peer advice,7
USR00003,2024-11-19,German Pinscher,Wanted real owner experiences instead of generic articles,Needed community and peer advice,8
USR00004,2024-11-21,German Pinscher,Not sure what to do if my pet gets lost.,Needed QR pet ID and lost pet mode,10
USR00005,2024-11-24,Shih Tzu,Wanted a safe community to share pet moments,Needed community and peer advice,6
USR00006,2024-11-07,German Shepherd Dog,I wasn’t sure what foods are dangerous vs safe,Needed safe food lookup,6
USR00007,2024-11-26,West Highland White Terrier,Didn’t know what a ‘good’ feeding plan looks like,Needed examples or templates,5
USR00008,2024-11-20,Cavalier King Charles Spaniel,I wasn’t sure what foods are dangerous vs safe.,Needed safe food lookup,7
USR00009,2024-11-23,Redbone Coonhound,Wanted an SOS button for ‘is this urgent?’,Needed clinic directory and SOS,9
USR00010,2024-11-27,Maltese,Setup felt like a checklist was missing,Needed onboarding checklist and reminders,5
USR00011,2024-11-04,Old English Sheepdog (Bobtail),"Wanted to start from a prefilled example instead of a blank screen. Also, I wanted a ‘copy a typical plan’ option",Needed examples or templates,3
USR00012,2024-11-23,Silky Terrier,"Wanted a quick ‘can my pet eat this?’ check. Also, confused by ingredient labels and marketing",Needed safe food lookup,4
USR00013,2024-11-13,Briard,"I wasn’t sure what to enter, so I stopped.",Needed examples or templates,8
USR00014,2024-11-26,Alaskan Malamute,Couldn’t find where to upload a scan or PDF,Needed digital vet passport and document storage,5
USR00015,2024-11-30,Scottish Deerhound,Wanted a clear ‘next action’ after setup.,Needed onboarding checklist and reminders,8
USR00016,2024-11-17,Neopolitan Mastiff,Unsure what I’m supposed to do next in onboarding.,Needed onboarding checklist and reminders,7
USR00017,2024-11-05,Shetland Sheepdog (Sheltie),"Didn’t know what info matters to save for future vet visits. Also, I lose paper vet documents when moving",Needed digital vet passport and document storage,3
USR00018,2024-11-29,Puli,I lose paper vet documents when moving.,Needed digital vet passport and document storage,5
USR00019,2024-11-23,Anatolian Sheepdog,Not sure what daily grams to enter for my pet,Needed feeding calculator and portion guidance,4
USR00020,2024-11-05,Harrier,Not sure which reminders matter first (feeding vs stock vs meds),Needed onboarding checklist and reminders,8
USR00021,2024-11-20,Basset Hound,Didn’t know what a ‘good’ feeding plan looks like,Needed examples or templates,4
USR00022,2024-11-20,Schipperke,Not sure which reminders matter first (feeding vs stock vs meds).,Needed onboarding checklist and reminders,10
USR00023,2024-11-25,Welsh Springer Spaniel,"Wanted real owner experiences instead of generic articles. Also, wanted a safe community to share pet moments",Needed community and peer advice,10
USR00024,2024-11-02,Tibetan Terrier,I needed clearer guidance for multi-food feeding,Needed feeding calculator and portion guidance,8
USR00025,2024-11-04,German Pinscher,Not sure how to split responsibilities in one household,Needed shared household tracking,6
USR00026,2024-11-10,Flat Coated Retriever,"Everything worked, I’d only tweak the copy.",No major issues,9
USR00027,2024-11-15,Afghan Hound,Wanted a clear ‘next action’ after setup,Needed onboarding checklist and reminders,7
USR00028,2024-11-17,Bearded Collie,Needed a friendly place to ask without judgment,Needed community and peer advice,9
USR00029,2024-11-21,Pug,"Too many options during setup and I hesitated. Also, wanted to start from a prefilled example instead of a blank screen",Needed examples or templates,4
USR00030,2024-11-15,Golden Retriever,"When something felt wrong, I panicked and googled scary stuff",Needed clinic directory and SOS,5
USR00031,2024-11-22,Shih Tzu,Setup felt like a checklist was missing,Needed onboarding checklist and reminders,6
USR00032,2024-11-12,Pharaoh Hound,Not sure what to do if my pet gets lost.,Needed QR pet ID and lost pet mode,10
USR00033,2024-11-26,Gordon Setter,I missed a step and only realized later.,Needed onboarding checklist and reminders,7
USR00034,2024-11-13,Clumber Spaniel,Didn’t know what a ‘good’ feeding plan looks like,Needed examples or templates,5
USR00035,2024-11-27,Pomeranian,Wanted a QR tag profile with owner contact info,Needed QR pet ID and lost pet mode,7
USR00036,2024-11-30,Coton de Tulear,Wanted weight-based portion suggestions,Needed feeding calculator and portion guidance,7
USR00037,2024-11-10,Bull Dog,Not sure which reminders matter first (feeding vs stock vs meds),Needed onboarding checklist and reminders,3
USR00038,2024-11-04,Gordon Setter,I didn’t understand how to split portions across meals,Needed feeding calculator and portion guidance,10
USR00039,2024-11-28,Petit Basset Griffon Vendeen,Unclear how to share access with a partner.,Needed shared household tracking,8
USR00040,2024-11-22,Harrier,Wanted real owner experiences instead of generic articles,Needed community and peer advice,7
USR00041,2024-11-02,Chow Chow,Unsure whether to track wet and dry food separately.,Needed examples or templates,6
USR00042,2024-11-06,Chinese Shar Pei,Wanted weight-based portion suggestions,Needed feeding calculator and portion guidance,6
USR00043,2024-11-15,Doberman Pinscher,I didn’t understand how to split portions across meals,Needed feeding calculator and portion guidance,10
USR00044,2024-11-09,Irish Wolfhound,"I use multiple pet gadgets and hate switching apps. Also, wanted trends from smart devices in one place",Needed integrations with devices,6
USR00045,2024-11-01,Australian Cattle Dog,Wanted one place for vet reports across clinics,Needed digital vet passport and document storage,6
USR00046,2024-11-07,Otter Hound,Wanted a shared log so I don’t have to ask ‘did you feed?’.,Needed shared household tracking,10
USR00047,2024-11-30,Vizsla,Didn’t know how to evaluate food quality,Needed safe food lookup,9
USR00048,2024-11-20,Boxer,"Not sure which reminders matter first (feeding vs stock vs meds). Also, didn’t know what the first step is after adding my pet",Needed onboarding checklist and reminders,6
USR00049,2024-11-20,Clumber Spaniel,I wanted a guided path instead of open-ended forms,Needed onboarding checklist and reminders,6
USR00050,2024-11-18,Cairn Terrier,I missed a step and only realized later,Needed onboarding checklist and reminders,7
USR00051,2024-11-12,Petit Basset Griffon Vendeen,Unsure how often to adjust portions as the pet grows.,Needed feeding calculator and portion guidance,3
USR00052,2024-11-30,Gordon Setter,Wanted key warnings and notes visible via QR.,Needed QR pet ID and lost pet mode,7
USR00053,2024-11-20,Samoyed,Wanted to start from a prefilled example instead of a blank screen.,Needed examples or templates,7
USR00054,2024-11-04,Toy Fox Terrier,Unsure how often to adjust portions as the pet grows,Needed feeding calculator and portion guidance,7
USR00055,2024-11-28,Tibetan Mastiff,We double-fed because we didn’t coordinate,Needed shared household tracking,10
USR00056,2024-11-18,German Wirehaired Pointer,Didn’t know how to evaluate food quality,Needed safe food lookup,7
